blue100H,blue100V,blue500H,blue500V,blueAvg,green100H,green100V,green500H,green500V,greenAvg,label,red100H,red100V,red500H,red500V,redAvg
209.22,208.84,125.4,215.98,93.3575731722,216.22,215.58,167.38,222.24,136.576063374,3,209.22,209.22,220.38,211.8,189.534642317
217.92,217.76,119.56,218.16,89.7836014051,224.6,224.76,135.44,225.16,104.581779266,5,222.24,221.76,220.34,222.16,183.15624608
215.32,217.48,213.64,209.62,82.0383087615,222.32,224.48,220.64,216.62,151.7721431,2,219.32,221.48,217.64,213.62,166.15640515
159.82,154.74,182.4,10.86,68.356586265,172.82,167.74,190.08,69.98,137.134458321,2,174.82,169.74,190.22,99.92,156.426472813
156.18,157.0,158.46,101.32,106.286442388,169.18,170.0,170.74,127.32,118.35965277,5,167.18,168.0,171.38,141.32,172.018087701
231.3,231.32,222.6,210.98,101.458409696,243.64,245.32,230.6,230.6,173.546204399,1,240.1,241.32,229.6,226.22,169.126676354
195.1,194.36,22.16,166.66,69.0200732968,195.42,194.36,143.34,168.34,142.81552503,2,190.06,188.36,205.68,164.76,181.909911841
171.1,172.22,35.52,166.0,65.7366387526,180.02,181.22,70.06,180.06,114.654246543,3,177.18,178.22,153.46,188.68,167.031641198
142.9,135.5,52.58,114.84,97.7102059964,157.9,155.78,62.08,144.56,110.568857491,5,153.38,152.46,127.66,149.56,176.007252073
185.54,186.88,190.54,164.98,81.4124969373,195.46,194.88,207.42,174.72,153.710636776,1,194.22,193.88,203.7,174.44,146.792993613
223.1,218.84,218.18,214.24,94.6651196478,231.7,230.18,225.18,228.24,158.127541575,2,229.5,227.02,222.18,224.24,185.812677934
216.9,218.78,207.22,212.84,78.067094709,223.9,225.78,213.34,217.32,105.468424093,5,220.9,222.78,208.54,223.92,191.643437772
172.84,172.98,145.64,161.62,86.8636203293,181.56,181.46,160.84,176.46,126.507626317,3,179.12,179.42,158.72,188.84,166.916955046
207.06,211.74,202.68,192.84,79.1895378889,214.96,216.5,210.08,197.2,133.981644783,2,206.32,208.54,203.64,188.2,157.043440321
194.9,194.94,26.2,85.94,66.0531184564,202.5,202.94,142.76,179.8,162.801362877,1,196.46,195.94,138.6,189.76,156.751713317
199.94,199.24,187.86,200.44,98.6602313506,206.94,206.24,194.86,207.44,130.591794301,3,203.94,203.24,191.86,204.44,173.398509671
185.98,181.74,74.8,11.14,58.6100139386,191.94,188.34,131.68,35.58,84.3791208467,4,189.5,186.14,237.32,169.98,176.982260964
228.48,230.02,206.86,234.7,113.19820966,239.92,240.92,220.94,241.7,179.022206047,1,237.72,239.22,221.12,238.7,172.628497826
128.5,129.78,106.4,87.04,92.369023296,136.08,137.78,108.9,106.64,99.8370097523,5,135.92,137.78,172.44,117.64,163.502780352
212.18,213.8,203.32,207.46,105.355667612,219.76,219.8,210.64,215.46,122.523715585,3,212.88,214.8,205.0,208.46,174.398397731
148.54,146.92,187.78,119.28,79.0070865503,170.3,165.48,201.94,141.16,108.716387012,4,186.5,182.48,209.26,168.2,187.672121716
128.84,129.46,59.36,119.1,82.5000513272,143.92,143.98,104.0,132.34,151.761431384,2,141.56,141.7,120.02,130.42,166.052357178
140.86,143.06,86.3,54.76,63.806775673,156.94,159.48,115.66,113.64,105.363013759,3,156.5,159.68,128.98,178.52,164.490520837
199.98,199.84,201.04,26.26,79.5326950669,204.14,202.4,207.88,166.42,148.925440355,2,198.54,196.4,204.4,208.02,180.321553227
181.82,182.5,147.16,210.88,109.0478399,195.22,196.22,166.16,216.88,166.169164694,2,196.02,195.34,173.16,215.88,183.604471035
165.78,167.3,54.16,166.82,80.1093845768,179.78,181.3,111.62,181.78,149.531404374,2,177.78,179.3,140.16,179.3,180.849246923
193.1,193.68,164.56,218.7,149.768714656,201.1,203.28,179.84,225.7,195.574065936,1,200.1,201.96,178.34,222.7,192.572864984
